tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
34005,species,"Dacnis venusta","Scarlet-thighed Dacnis",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
34043,species,"Chlorophanes spiza","Green Honeycreeper",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
33878,species,"Stilpnia larvata","Golden-hooded Tanager",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
16330,species,"Sayornis nigricans","Black Phoebe",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
26278,species,"Troglodytes aedon","House Wren",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
33654,species,"Ramphocelus flammigerus","Flame-rumped Tanager",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
4981,species,"Amazilia tzacatl","Rufous-tailed Hummingbird",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
33789,species,"Thraupis episcopus","Blue-gray Tanager",4,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count from balcony next to our rooms at Los Tubos overlooking the river. With Diego and Maira."
