tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Jennifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr792981,""
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8580750,-76.8057300,2022-07-24,obsr436508,"Manacus2022_Guía Gustavo Banguera"
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8582540,-76.8068820,2022-07-25,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. From edge of the town (3.85825, -76.80688) of Triana up to the wooden observation platform near second cell tower (~565 meters elevation; 3.85487, -76.81732). Very steep hike up through nice secondary/logged forest. With Eamon and guide Gustavo (from Triana). Light rain on and off."
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8582540,-76.8068820,2022-07-25,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. From edge of the town (3.85825, -76.80688) of Triana up to the wooden observation platform near second cell tower (~565 meters elevation; 3.85487, -76.81732). Very steep hike up through nice secondary/logged forest. With Eamon and guide Gustavo (from Triana). Light rain on and off."
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8685128,-76.8315208,2022-07-24,obsr792981,""
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8705083,-76.8323307,2022-07-22,obsr792981,""
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8431610,-76.7911750,2022-07-11,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego, Maira, and Sebastian."
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr436508,Manacus2022_
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr792981,""
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr803013,""
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10459,species,"Ramphastos brevis","Choco Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10459,species,"Ramphastos brevis","Choco Toucan",3,Colombia,"Valle del Cauca",3.8687749,-76.8317861,2022-07-23,obsr792981,""
10471,spuh,"Ramphastos sp.","large toucan sp.",1,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10471,spuh,"Ramphastos sp.","large toucan sp.",1,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10471,spuh,"Ramphastos sp.","large toucan sp.",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Restricted access- entrance only with guide and permission. With Andre and Victor. Hiking up the very steep trail from ~230 meters elevation at the road to ~500 meters at the clearing where we ended (and had the cotingas and possible umbrellabird)."
10471,spuh,"Ramphastos sp.","large toucan sp.",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-22,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Restricted access- entrance only with guide and permission. With Andre and Victor. Hiking up the very steep trail from ~230 meters elevation at the road to ~500 meters at the clearing where we ended (and had the cotingas and possible umbrellabird)."
